created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence
2026-08-30 14:38:00+00:00,17.15,17.67,2766.41,0.0,20.04,False,0,False,0.19753951968433303,None
2026-08-30 14:39:00+00:00,14.03,10.12,2950.43,0.0,20.31,False,0,False,0.2252803295177443,None
2026-08-30 14:40:00+00:00,16.78,18.08,2496.18,0.0,21.05,False,0,False,0.2438572920551138,None
2026-08-30 14:41:00+00:00,17.28,16.49,2483.4,0.0,65.77,False,0,False,0.1296226169103698,None
2026-08-30 14:42:00+00:00,15.98,22.21,2786.56,0.47,20.13,False,0,False,0.17004846820485187,None
2026-08-30 14:43:00+00:00,15.36,16.86,2660.32,0.51,58.86,False,0,False,0.1414662609946976,None
2026-08-30 14:44:00+00:00,16.3,16.0,2818.05,0.0,79.65,False,0,False,0.1563359252845824,None
2026-08-30 14:45:00+00:00,18.31,19.43,2867.67,0.0,62.92,False,0,False,0.10046569112046733,None
2026-08-30 14:46:00+00:00,13.41,16.28,2649.19,0.45,65.67,False,0,False,0.13779620581659868,None
2026-08-30 14:47:00+00:00,17.6,19.55,3004.02,0.0,21.01,False,0,False,0.22402641164455306,None
2026-08-30 14:48:00+00:00,13.14,12.51,2753.45,0.0,80.82,False,0,False,0.13505717215395918,None
2026-08-30 14:49:00+00:00,16.51,21.92,2712.87,0.0,20.2,False,0,False,0.24832752527849566,None
2026-08-30 14:50:00+00:00,16.58,16.74,2809.67,0.0,56.3,False,0,False,0.1816329606640133,None
2026-08-30 14:51:00+00:00,15.39,16.08,2590.17,0.31,20.47,False,0,False,0.2094070621159249,None
2026-08-30 14:52:00+00:00,12.58,13.73,2646.51,0.0,70.18,False,0,False,0.15245092573662533,None
2026-08-30 14:53:00+00:00,16.57,20.75,2638.78,0.0,62.58,False,0,False,0.12124363844463582,None
2026-08-30 14:54:00+00:00,14.1,12.95,2866.51,0.0,77.16,False,0,False,0.12360680935405144,None
2026-08-30 14:55:00+00:00,15.1,20.4,2558.27,0.95,20.33,True,1,False,0.17459507394913276,Z-Score
2026-08-30 14:56:00+00:00,17.05,18.37,2600.08,0.66,72.01,False,0,False,0.11208883161205552,None
2026-08-30 14:57:00+00:00,17.2,17.74,2621.74,0.0,78.86,False,0,False,0.14450623841785226,None
2026-08-30 14:58:00+00:00,10.6,16.22,2749.36,0.0,66.72,False,0,False,0.17146773551076183,None
2026-08-30 14:59:00+00:00,17.54,22.86,2919.8,0.0,20.78,False,0,False,0.22538686421501275,None
2026-08-30 15:00:00+00:00,12.42,14.89,2510.25,0.0,73.4,False,0,False,0.1406012882825992,None
2026-08-30 15:01:00+00:00,11.97,9.33,2457.1,0.0,19.82,False,0,False,0.17145785467739516,None
2026-08-30 15:02:00+00:00,15.34,25.47,2729.86,0.0,52.68,False,0,False,0.13428377502921818,None
2026-08-30 15:03:00+00:00,15.23,19.19,2742.52,0.0,20.06,False,0,False,0.25725103208905303,None
2026-08-30 15:04:00+00:00,13.32,14.58,2489.52,0.0,56.7,False,0,False,0.1839683764655859,None
2026-08-30 15:05:00+00:00,18.28,20.37,2523.43,0.0,54.34,False,0,False,0.16758018511791833,None
2026-08-30 15:06:00+00:00,16.94,17.59,2914.57,1.42,65.14,True,1,False,0.04736260799053693,Z-Score
2026-08-30 15:07:00+00:00,14.97,13.85,2663.97,0.0,20.83,False,0,False,0.24552383862875338,None
2026-08-30 15:08:00+00:00,14.88,18.03,2631.8,0.0,20.59,False,0,False,0.23967038421836395,None
2026-08-30 15:09:00+00:00,19.32,23.53,2637.18,0.0,68.93,False,0,False,0.09710025561759283,None
2026-08-30 15:10:00+00:00,16.43,23.36,2855.16,0.0,56.61,False,0,False,0.11836575841873798,None
2026-08-30 15:11:00+00:00,22.68,23.46,2216.81,0.0,20.7,True,2,False,0.17241318451403298,Z-Score
2026-08-30 15:12:00+00:00,13.92,21.96,2547.89,0.0,20.25,False,0,False,0.1932200380258332,None
2026-08-30 15:13:00+00:00,11.42,14.68,2659.19,0.0,19.87,False,0,False,0.2445084812204445,None
2026-08-30 15:14:00+00:00,12.2,12.43,2649.63,0.0,69.06,False,0,False,0.16278380874808468,None
2026-08-30 15:15:00+00:00,11.55,14.17,2543.74,0.0,19.74,False,0,False,0.24070714134692167,None
2026-08-30 15:16:00+00:00,13.72,17.03,2755.0,0.28,19.84,False,0,False,0.16060877655969785,None
2026-08-30 15:17:00+00:00,15.13,14.91,2846.41,0.0,20.51,False,0,False,0.2419706106355186,None
2026-08-30 15:18:00+00:00,12.73,11.9,2709.28,0.0,20.78,False,0,False,0.24662514475511427,None
2026-08-30 15:19:00+00:00,17.98,18.64,2810.72,0.0,19.86,False,0,False,0.23550965496669524,None
